,PO No.,PO Item No.,Incoterms Name,Material/Service No.,PO Item Description,Manufacturer Name,Vendor Name,Manufacturer Part No.,Long Description,PO Item Creation Date,PO Item Quantity,PO Item Quantity Unit,PO Item Value (GC),PO Item Value (GC) Unit,Product Category,Product Category Description,PO Status Name,Region,score,path,desc,desc_words_short,desc_words_long,base_index,Unit Price
748932,4300873679,5,Free Carrier,11159045,MODULE:MULTI CABLE TRANSIT,SOLAR TURBINES,SOLAR TURBINES EUROPE SA,190261-17,"MODULE: MULTI CABLE TRANSIT,20/12 INSERT BLOCK",2017-12-01,20.0,EA,282.4,USD,32151802,Safety CTRL module,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['MODULE', 'MULTI', 'CABLE', 'TRANSIT']","['MODULE', 'MULTI', 'CABLE', 'TRANSIT', '20', '12', 'INSERT', 'BLOCK']",748932,14.12
751563,4300881037,1,Free Carrier,11159045,MODULE:MULTI CABLE TRANSIT,SOLAR TURBINES,SOLAR TURBINES EUROPE SA,190261-17,"MODULE: MULTI CABLE TRANSIT,20/12 INSERT BLOCK",2017-12-19,20.0,EA,282.4,USD,32151802,Safety CTRL module,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['MODULE', 'MULTI', 'CABLE', 'TRANSIT']","['MODULE', 'MULTI', 'CABLE', 'TRANSIT', '20', '12', 'INSERT', 'BLOCK']",751563,14.12
748935,4300873679,8,Free Carrier,11159010,MODULE:MCT,SOLAR TURBINES,SOLAR TURBINES EUROPE SA,190261-18,"MODULE: MULTI CABLE TRANSIT,30/12 INSERT BLOCK",2017-12-01,20.0,EA,391.2,USD,32151802,Safety CTRL module,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['MODULE', 'MCT']","['MODULE', 'MULTI', 'CABLE', 'TRANSIT', '30', '12', 'INSERT', 'BLOCK']",748935,19.56
751566,4300881037,4,Free Carrier,11159010,MODULE:MCT,SOLAR TURBINES,SOLAR TURBINES EUROPE SA,190261-18,"MODULE: MULTI CABLE TRANSIT,30/12 INSERT BLOCK",2017-12-19,20.0,EA,391.2,USD,32151802,Safety CTRL module,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['MODULE', 'MCT']","['MODULE', 'MULTI', 'CABLE', 'TRANSIT', '30', '12', 'INSERT', 'BLOCK']",751566,19.56
748936,4300873679,9,Free Carrier,11159041,MODULE:MULTI CABLE TRANSIT,SOLAR TURBINES,SOLAR TURBINES EUROPE SA,190261-23,"MODULE: MULTI CABLE TRANSIT,30/21 INSERT BLOCK",2017-12-01,20.0,EA,391.2,USD,32151802,Safety CTRL module,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['MODULE', 'MULTI', 'CABLE', 'TRANSIT']","['MODULE', 'MULTI', 'CABLE', 'TRANSIT', '30', '21', 'INSERT', 'BLOCK']",748936,19.56
751568,4300881037,6,Free Carrier,11159041,MODULE:MULTI CABLE TRANSIT,SOLAR TURBINES,SOLAR TURBINES EUROPE SA,190261-23,"MODULE: MULTI CABLE TRANSIT,30/21 INSERT BLOCK",2017-12-19,20.0,EA,391.2,USD,32151802,Safety CTRL module,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['MODULE', 'MULTI', 'CABLE', 'TRANSIT']","['MODULE', 'MULTI', 'CABLE', 'TRANSIT', '30', '21', 'INSERT', 'BLOCK']",751568,19.56
748926,4300873679,1,Free Carrier,11159072,MODULE:MULTI CABLE TRANSIT,SOLAR TURBINES,SOLAR TURBINES EUROPE SA,190261-31,"MODULE: MULTI CABLE TRANSIT,40/22 INSERT BLOCK",2017-12-01,10.0,EA,320.6,USD,32151802,Safety CTRL module,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['MODULE', 'MULTI', 'CABLE', 'TRANSIT']","['MODULE', 'MULTI', 'CABLE', 'TRANSIT', '40', '22', 'INSERT', 'BLOCK']",748926,32.06
751567,4300881037,5,Free Carrier,11159072,MODULE:MULTI CABLE TRANSIT,SOLAR TURBINES,SOLAR TURBINES EUROPE SA,190261-31,"MODULE: MULTI CABLE TRANSIT,40/22 INSERT BLOCK",2017-12-19,20.0,EA,641.2,USD,32151802,Safety CTRL module,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['MODULE', 'MULTI', 'CABLE', 'TRANSIT']","['MODULE', 'MULTI', 'CABLE', 'TRANSIT', '40', '22', 'INSERT', 'BLOCK']",751567,32.06
748928,4300873679,11,Free Carrier,11159806,MODULE:BLK,SOLAR TURBINES,SOLAR TURBINES EUROPE SA,190261-73,"MODULE: MULTI CABLE TRANSIT,60/0 INSERT BLOCK",2017-12-01,10.0,EA,750.8,USD,32151802,Safety CTRL module,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['MODULE', 'BLK']","['MODULE', 'MULTI', 'CABLE', 'TRANSIT', '60', '0', 'INSERT', 'BLOCK']",748928,75.08
751564,4300881037,2,Free Carrier,11159806,MODULE:BLK,SOLAR TURBINES,SOLAR TURBINES EUROPE SA,190261-73,"MODULE: MULTI CABLE TRANSIT,60/0 INSERT BLOCK",2017-12-19,20.0,EA,1501.6,USD,32151802,Safety CTRL module,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['MODULE', 'BLK']","['MODULE', 'MULTI', 'CABLE', 'TRANSIT', '60', '0', 'INSERT', 'BLOCK']",751564,75.08
777510,4300964001,2,Free Carrier,10007916,"PROBE,PROX:TYPE 3300XL,8MM",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,190817-91,"PROBE,PROXIMITY:TYPE 3300XL,8MM",2018-07-19,1.0,EA,704.0,USD,41111900,Indicating/rec INSTR,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['PROBE', 'PROX', 'TYPE', '3300XL', '8MM']","['PROBE', 'PROXIMITY', 'TYPE', '3300XL', '8MM']",777510,704.0
