BP Material / Service Master No.,Supplier Part No. / Reference,BP Short Description,BP Long Description,Supplier Description,Manufacturer Name,Manufacturer Part Number,UOM,Last Price,Description,Price Valid From,Price Valid to,Incoterms Key,2021 rates
,36006725,"ALPHA SP 68,DRUM OF 208L","OIL,INDUSTRIAL:GEAR/SOLVENT/MINERAL,ALPHA SP 68,208L DRUM,68CST AT 40DEG C/8.53CST AT 100DEG C,90,200DEG C,CLEAR,-21DEG C","ALPHA SP 68,DRUM OF 208L",CASTROL,3181/208,EA,657.03,"['ALPHA', 'SP', '68', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,802.23
,36006887,"ALPHASYN EP 220,CAN OF 20L","OIL,INDUSTRIAL:GEAR/SYNTHETIC,ALPHASYN EP 220,LIQUID,20L CAN,220CST AT 40DEG C/25CST AT 100DEG C,140,220DEG C,LIGHT YELLOW,-42DEG C","ALPHASYN EP 220,CAN OF 20L",CASTROL,3141/20,EA,278.38,"['ALPHASYN', 'EP', '220', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,363.08
,36006728,"ALPHASYN PG 220,CAN OF 20L","OIL,INDUSTRIAL:GEAR/SYNTHETIC,ALPHASYN PG 220,20L PAIL,220CST AT 40DEG C VISCOSITY/40CST AT 100DEG C VISCOSITY,235 VISCOSITY,262DEGC   FLASH POINT,LIGHT YELLOW,-39DEG C","ALPHASYN PG 220,CAN OF 20L",CASTROL,3132/20,EA,307.8,"['ALPHASYN', 'PG', '220', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,374.5
,36006732,"ALPHASYN PG 320,CAN OF 20L","OIL,INDUSTRIAL:GEAR/SYNTHETIC,ALPHASYN PG 320,20L,320MM2/S AT 40DEG C/56MM2/S AT 100DEG C,240,210DEG C,YELLOW,-36DEG C","ALPHASYN PG 320,CAN OF 20L",CASTROL,3133/20,EA,307.8,"['ALPHASYN', 'PG', '320', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,385.45
,36006908,"ALPHASYN T68,CAN OF 20L","OIL:GEAR,CAN,20L","ALPHASYN T68,CAN OF 20L",CASTROL,ALPHASYN T68,EA,254.52,"['ALPHASYN', 'T68', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,264.8
,36006679,"HYSPIN AWS 32,CAN OF 20L","OIL,INDUSTRIAL:HYDRAULIC,0.88G/ML AT 15DEG C,LIQUID,HYSPIN AWS 32,20L CAN,32MM2/S AT 40DEG C/5.44MM2/S AT 100DEG C,GREATER THAN 95,2  10DEG C,LIGHT AMBER,-27DEG C","HYSPIN AWS 32,CAN OF 20L",CASTROL,6018/20,EA,54.9,"['HYSPIN', 'AWS', '32', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,89.2
,36006745,"HYSPIN HVI 15,DRUM OF 208L","OIL,INDUSTRIAL:MULTIGRADE,BARTRAN HV 15,208L DRUM,14.9CST AT 40DEG C VISCOSITY/1130CST AT -30DEG C VISCOSITY,150 VISCOSITY,160 FLASH   POINT,CLEAR,-51DEG C","HYSPIN HVI 15,DRUM OF 208L",CASTROL,BARTRAN HV 15,EA,636.53,"['HYSPIN', 'HVI', '15', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,857.13
,36006660,"OIL,INDUSTRIAL:CIRCULATING,MAGNA 150,LIQ","OIL,INDUSTRIAL:CIRCULATING,MAGNA 150,LIQUID,20L PAIL,709-866CST AT 38DEG C/150MM2/S AT 40DEG C/14.5MM2/S AT 100DEG C,97,149DEG C,AMB  ER,-18DEG C,BULK DENSITY: 7.67LBS/GAL/SPECIFIC GRAVITY: 0.91 AT 16DEG C","CIRCULATING,MAGNA 150,LIQUID,20L PAIL",,,EA,215,"['OIL', 'INDUSTRIAL:CIRCULATING', 'MAGNA', '150', 'LIQ']",11/20/2017,10/13/2021,,253.1
,36006661,"CASTROL RUSTILO 181,CAN OF 20L","CASTROL RUSTILO 181,CAN OF 20L","CASTROL RUSTILO 181,CAN OF 20L",CASTROL,1563BA,EA,290,"['CASTROL', 'RUSTILO', '181', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,345
,11105665,"GREASE,INDUST:HIGH TEMPERATURE,TRIBOL 47","GREASE,INDUSTRIAL: HIGH TEMPERATURE,TRIBOL 4747/220-2,18KG PAIL,NLGI 2,-40 TO 150DEG C,LITHIUM COMPLEX THICKENER,SYNTHETIC","GREASE,INDUSTRIAL: HIGH TEMPERATURE,TRIBOL 4747/220-2,18KG PAIL,NLGI 2,-40 TO 150DEG C,LITHIUM COMPLEX THICKENER,SYNTHETIC",CASTROL,133839,EA,451,"['GREASE', 'INDUST:HIGH', 'TEMPERATURE', 'TRIBOL', '47']",11/20/2017,10/13/2021,,-1
