,Material/Service No.,PO Item Description,Manufacturer Name,Manufacturer Part No.,Increase percentage,From Pricebook
62,D (126),"OFFSHORE INSTRUMENTATION CABLE 1X3X1,5 S",Not Assigned,#,9.0,NO
335,11028055 (1087491-3),"FLTR,ELMNT:CYLDCL,AIR/FUEL GAS",SOLAR TURBINES,1087491-3,2.0,NO
166,D (75),300538-1 SAFETY BLANKET ( COLLECTOR SEC),Not Assigned,#,9.0,NO
350,11025443 (903732C1),"O-RNG:2-225,1-7/8IN,1/8IN,1.859IN,0.139I",SOLAR TURBINES,903732C1,9.0,NO
198,36024601 (970288C1),"GAUGE,PRES:0 TO 160PSIG",SOLAR TURBINES,970288C1,1.0,NO
340,11025461 (172439-2),PKNG:BLEED AIR,SOLAR TURBINES,172439-2,3.0,NO
222,36500271167 (903316C1),"PLUG,SPARK",SOLAR TURBINES,903316C1,37.0,NO
84,11046655 (917252C1),"SEALANT:RTV ADHESIVE/SILICONE,PASTE,RED",SOLAR TURBINES,917252C1,8.0,NO
334,36500878654 (600277C1),"GSKT:STRAINER,PTFE",SOLAR TURBINES,600277C1,0.0,NO
188,11024872 (1017897),"GASKET,SPWD:4IN PIPE,CLASS 150,304 STAIN",SOLAR TURBINES,1017897,4.0,NO
142,11026198 (963859C1),"GASKET,SPWD:3IN PIPE,CLASS 600,NON-ASB,F",SOLAR TURBINES,963859C1,4.0,NO
354,11042708 (950007C1),"WASHER,LOCK:SPLT,5/16IN,SS,GR 304,25/PAC",SOLAR TURBINES,950007C1,32.0,NO
300,11047956 (912053C1),"O-RNG:2-133,1-13/16IN,3/32IN,1.799IN,0.1",SOLAR TURBINES,912053C1,1.0,NO
18,D (116),"PIN,DIAMOND,0.75 IN DIA X",Not Assigned,#,71.0,NO
57,11173089 (1055079-100),"LOCK,PAD:ENCL DOOR,KEY",SOLAR TURBINES,1055079-100,2.0,NO
