Material ID,BUn,AUn,Counter,Denom.
11105708,EA,SET,1,1
11107684,EA,BX,900,1
11107684,EA,ROL,150,1
11108096,EA,CV,1,1
11108096,EA,CAN,1,1
11108508,EA,KIT,1,1
11113379,EA,BX,4,1
11113397,EA,ROL,1,1
11113564,EA,SO,1,1
11121296,JO,FT,1,40
11123790,EA,PAC,20,1
11124092,EA,M,1,1
11125209,EA,PAC,100,1
11126475,EA,PAC,1,1
11126509,EA,M,1,1
11128033,EA,PAC,1,1
11128049,LO,EA,1,1
11128594,EA,PAC,2,1
11130982,EA,PAC,1,1
11131014,EA,PAC,1,10
11131027,EA,PAC,1,1
11132273,EA,BX,25,1
11133391,EA,M,1,1
11133393,EA,M,1,1
11133399,EA,M,1,1
11133400,EA,M,1,1
11133401,EA,M,1,1
11133716,M,BAG,12,1
11133780,EA,PAC,15,1
11138903,EA,PAC,140,1
11147768,EA,PAC,50,1
11147769,EA,PAC,50,1
11149322,EA,SO,1,1
11150034,EA,KIT,1,1
11150239,EA,M3,1,1
11150356,EA,BX,100,1
11152916,EA,PR,1,1
11153183,EA,CV,1,1
11153183,EA,CAN,1,1
11153716,EA,PAC,10,1
11153783,EA,SET,1,1
11154407,EA,PAC,1,1
11154409,EA,KG,1,2
11154672,EA,PAC,1000,1
11154675,EA,PAC,1000,1
11154677,EA,PAC,1000,1
11154874,JO,M,1,6
11155065,KG,DR,1,1
11155088,EA,SET,1,1
11156153,PAC,EA,100,1
11156162,EA,MM,1,1
11156164,EA,MM,1,1
11156166,EA,MM,1,1
11156167,EA,MM,1,1
11156168,EA,MM,1,1
11156480,JO,M,1,12
11157283,JO,M,1,12
11157653,EA,PAC,1,1
11158541,JO,M,1,12
11158665,EA,PAC,25,1
11160981,EA,PAC,1,1
11160988,EA,PAC,1,1
11160990,EA,PAC,1,1
11161058,EA,PAC,100,1
11161063,EA,PAC,1,1
11161072,EA,PAC,100,1
11162539,M,RE,1,1
11163654,EA,KIT,1,1
11163935,EA,SET,1,1
11163967,JO,M,1,12
11165038,EA,DR,1,1
11165072,EA,SH,1,35
11165583,EA,DR,1,1
11166426,EA,SET,1,1
11166781,M,EA,16,1
11166860,JO,M,1,6
11167193,M,SO,1,1
11167299,EA,SET,1,1
11168258,EA,ROL,1,1
11168319,FT,LN,1,1
11170044,EA,M,6,1
11170066,JO,FT,1,40
11170134,EA,SET,1,1
11170172,EA,BX,12,1
11170195,EA,PAC,1,10
11170311,EA,PAC,1,5
11170422,JO,M,1,12
11170527,EA,SET,1,1
11176415,JO,M,1,12
11176898,EA,DR,1,1
11177219,EA,PAC,12,1
11177220,EA,PAC,12,1
11177343,JO,M,1,12
11177861,EA,RE,1,1
11179731,JO,FT,1,1
11181066,EA,KIT,1,1
11181626,EA,KIT,1,1
11182264,EA,PAC,1,1
11182295,EA,PAC,1,1
11182297,EA,PAC,1,1
11182298,EA,PAC,1,1
11182323,M,FT,381,1250
11183435,EA,M,1,1
11183558,M,RE,100,1
11184076,JO,M,1,12
11186102,EA,PAC,50,1
11188643,EA,BX,12,1
11192022,EA,PAC,10,1
11192060,EA,PAC,10,1
11192065,EA,PAC,10,1
11192332,EA,L,1,20
11193850,M,EA,1,1
11195159,EA,M,1,40
11195164,EA,BX,25,1
11196670,EA,PAC,25,1
11196746,EA,BX,144,1
11197361,EA,BC,500,1
11197372,EA,PAC,5,1
11197405,EA,L,1,5
11197426,EA,IN,1,1
11197446,EA,CM,1,1
11197829,EA,PAC,100,1
11198265,EA,KG,1,16
11199926,EA,PAC,4,1
11201328,EA,M,1,1
11202296,EA,CAN,1,1
11205103,EA,M,1,1
11205104,EA,M,1,1
11208712,EA,SET,1,1
11208860,EA,PAC,1,1
11209048,M,RE,20,1
11209317,EA,SET,1,1
11212428,EA,M,1,1
11212501,M,EA,220,1
11212514,EA,M,1,1
11212804,EA,KIT,1,1
11213564,EA,PAC,25,1
11213774,EA,IGL,3,1
11214299,EA,PAC,50,1
11512511,EA,PAC,10,1
11512699,M,RE,1000,1
11516582,EA,SET,1,1
11516728,KG,DR,1,1
11516729,KG,DR,1,1
11517261,EA,IN,1,1
11517758,EA,M,1,1
11517837,EA,PAC,25,1
11517844,EA,PAC,25,1
11521976,EA,SET,1,1
11522473,EA,PAC,20,1
11522489,EA,PAC,45,1
11523924,EA,M,1,1
11523978,EA,PAC,6,1
11526414,EA,KIT,1,1
11527326,EA,PAC,1,1
11528288,EA,KIT,1,1
11529219,EA,SET,1,1
11529260,EA,SET,1,1
11530013,EA,PAC,100,1
11532270,EA,SET,16,1
11532740,EA,M,1,1
11535656,EA,PAC,10,1
11537707,M,DR,305,1
11553621,EA,SET,1,1
11553624,EA,SET,1,1
11554253,EA,PR,2,1
11554262,EA,PR,2,1
11554263,EA,PR,2,1
11554747,EA,M,1,1
11555440,EA,PAC,100,1
11556581,EA,M,1,1
11558517,EA,PAC,10,1
11560279,EA,PAC,5,1
11560285,M,RE,100,1
11565189,EA,BX,100,1
11566102,EA,PAC,100,1
11566104,EA,PAC,100,1
11566439,EA,PAC,1000,1
11567007,EA,PAC,100,1
11568573,EA,SET,1,1
11568791,M,CX,20,1
11568903,EA,PAC,10,1
11571629,EA,M,1,140
11576348,EA,CAR,1,1
11579718,EA,PAC,45,1
11582023,EA,BAG,1000,1
11582030,EA,BAG,1000,1
11586288,EA,SET,3,1
11587917,M,ROL,25,1
11589063,EA,PAC,10,1
11589279,EA,PAC,8,1
11589547,EA,PAC,4,1
11592856,EA,BAG,5,1
11595769,EA,M,1,1
11597755,EA,PAC,12,1
11602363,EA,BX,10,1
11602985,EA,PAC,4,1
11606563,EA,PAC,100,1
36008524,EA,FT,1,1
36010309,EA,SET,3,1
36010311,EA,SET,2,1
36011059,KG,EA,18,1
36011101,EA,KG,18,1
36011305,EA,SCF,1,1
36011909,EA,LF,1,1
36017982,EA,SET,8,1
36022393,EA,LF,1,1
36023007,EA,DR,1,1
36023921,EA,PAC,12,1
36024216,EA,PAC,20,1
36024281,EA,PAC,1,1
36024328,EA,PAC,2,1
36024371,EA,PAC,3,1
36024429,EA,PAC,25,1
36024434,EA,PAC,2,1
36024444,EA,PAC,25,1
36024452,EA,PAC,25,1
36024457,EA,PAC,10,1
36024463,EA,PAC,36,1
36024467,EA,PAC,8,1
36024472,EA,PAC,36,1
36024481,EA,PAC,36,1
36024483,EA,PAC,4,1
36024532,EA,PAC,2,1
36024956,EA,M,1,1
36025534,EA,PAC,3,1
36029146,EA,PAC,1,1
36029158,EA,PAC,8,1
36029422,EA,PAC,100,1
36031005,EA,M,1,1
36031083,EA,PAC,5,1
36031117,EA,M,1,1
36031118,EA,M,1,1
36031148,EA,ROL,1,1
36031160,EA,PAC,5,1
36031355,EA,M,1,1
36032754,EA,BX,50,1
36034429,EA,SET,15,1
36043906,EA,PZ,20,1
36043927,EA,M,1,1
36043933,EA,M,1,1
36044060,EA,M,1,1
36044103,EA,M,1,1
36044119,EA,M,1,1
36044359,EA,PAC,1,1
36044476,EA,PAC,20,1
36044499,EA,CV,1,1
36044499,EA,CAN,1,1
36044507,EA,M,1,1
36044510,EA,LN,1,1
36044525,EA,M,1,3
36044600,EA,LN,1,1
36045236,EA,BAG,100,1
36045236,EA,PAC,1,1
36045257,EA,PAC,1,1
36045507,EA,PAC,100,1
36045771,EA,PAC,10,1
36046105,EA,SET,1,3
36048784,EA,PAC,25,1
36050064,EA,PAC,1,1
36050130,EA,PAC,5,1
36050508,EA,PAC,10,1
36052076,EA,PR,1,1
36052077,EA,PR,1,1
36052182,EA,PR,1,1
36052183,EA,PR,1,1
